Assemblage_Name	3862864-3-0	8392099-1-8998437	4-2776581-2026875	3673796-1-933038	3673796-9554260-8998437	2-8820611-7102447	8116519-3-0	4-2776581-4848079	9627451-9663887-9645566	2-8820611-2445671	5956986-4-7029958	3673796-1-3	79096-4-9223646	5956986-4-7224229	5933490-2776581-0	7347025-3-0	92220-2776581-6867674	3673796-4664560-8998437	3673796-4941969-8998437	8014427-3-8369990	4-7442626-0	2418999-1799178-5106890	2-1557203-5190323	8014427-3-1	4-2776581-5485096	6635322-2776581-8487496	1323152-130645-4286526	1239358-8820611-4	4-8337970-0	3718446-3-1	4-2776581-8040578	2-5032552-4	3673796-7028434-8998437	2260587-2776581-8817014	3865392-4-9223646	2-4026902-4	4-1707336-3642900	3673796-1-8998437	5792220-3-0	3673796-4576564-8998437	515322-3-4286526	1386676-9663887-7105388	4-4274933-0	872963-3-4286526	1658019-9684182-0	1323152-2651177-0	7632876-2776581-5485096	8907090-1-8998437	3-2-3	7831330-2776581-0	4-2315825-0	3-3-4887441	2702122-7585572-0	9431925-4581658-0	2702122-2776581-0	9443046-1-3	1323152-3-3632269	4-2776581-2338604	2-1557203-4	1-4517566-1274353	9585843-2776581-0	3-3-0	1-4-9863746	1-4168790-8693638	1323152-3-6998928	3-2239610-2	4-2776581-5226460	5395935-1-8998437	6070819-4-9223646	0-1-3	121784-2776581-0	1323152-3-4286526	6070819-4-431867	2-6809284-7102447	9627451-9663887-1	1-4-1274353	1323152-3-6319392	4-418782-9154471	3673796-8847308-8998437	4-8059902-5915075	9627451-3-1	4-9313164-9154471	2152038-1-8998437	1323152-3-7666699	1323152-3-9004763	3673796-1-9663462	5956986-4-750769	1514202-2776581-5485096	1-4168790-1	1323152-7882437-4286526	1-1799178-5106890	4-2776581-0	4-2776581-9154471	7961692-3-0	8446424-8820611-4	2260587-2776581-6867674	3673796-1-4227406	6535023-3-0	5956986-4-9628573	4-2776581-457765	4-2776581-6398026	1-1799178-5617331	1-2-4	2730607-1-3044418	1323152-3-0	3673796-1-6290556	9228913-4168790-8693638	4-3-0	9627451-9663887-5536727	1-4-6458563	4-2776581-8487496	8831714-2776581-4848079	7290466-3-0	1025219-3-4286526	4-2144745-0	1-1799178-1	1-7979491-6458563	2-3-1	9627451-3-8036519	8028539-4168790-9307296	7696551-1-8998437	1658019-3-0	1323152-4792787-4286526	8070292-3-0	1323152-5550918-0	4-2776581-3642900	2-62843-7102447	7367200-1-8998437	1323152-3-2161880	2-1193870-4	6648365-1799178-1	4-9988577-0	2419764-2776581-0	897625-2776581-0	1323152-7100461-0	6013535-2776581-5485096	5956986-4-1274353	3-3-774170	4-8912547-0	4-2524792-5485096	6457863-2776581-0	515322-3-8261115	2-8820611-2488108	2-6250329-4	2-4911739-4	9339916-8820611-4	7145127-8820611-4	4-2776581-8367462	8676272-3-1	3673796-3836874-8998437	1-4-3	1495658-7085401-0	3673796-1-3473921	1-2566347-1274353	6850292-8059902-5915075	1323152-3-102041	9470001-2776581-0	7026161-2776581-6867674	9647937-3-0	8898833-4-1274353	4-2315825-5935957	9431925-3-0	4-9943677-6867674	1646598-8820611-4	1229816-2776581-5485096	3601972-2776581-8487496	1323152-552185-0	7720415-2776581-6154328	3-9944486-774170	1323152-3-7500645	698962-2776581-6867674	3673796-4720200-8998437	2-8820611-4	653321-2776581-9154471	9627451-9663887-7105388	6030638-9313164-9154471	4-1967971-0	1323152-4983846-4286526	7720415-2776581-0	7988091-3-4286526	3673796-1-2357672	1-4-9525559	4-2776581-6867674	2205194-4-1274353	2730607-1-8998437	1-4-9223646	1-1799178-4268965	6457863-2366898-0	2-3232012-4	6551674-2776581-8487496	4-2776581-4941746	3281692-3-1	3-9371550-0	1323152-3-9607848	3240719-4-431867	4-2451018-6867674	2-7028331-7102447	4-1063165-0	1409951-2776581-9154471	1323152-4564531-4286526	9776965-2776581-9154471	0-3-5276479	2639167-8820611-4	1-4-3254346	1-8904213-1	1323152-3-3669741	2205194-5764275-1274353	4-7707465-3642900	7713891-3-5276479	1495658-2776581-0	1323152-3-5090395	3673796-5175899-8998437
assemblage-330-439	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	30	0	0	0	0	0	0	7	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	51	0	0	0	0	0	0	0	0	0	0	0	37	0	0	16	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	12	0	0	10	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	5	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	20	0	0	25	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65
assemblage-687-461	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	79	16	9	0	0	0	0	0	0	0	0	0	0	5	0	0	46	0	0	0	0	0	0	0	22	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	23	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
assemblage-478-510	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	5	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	8	53	25	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	22	0	0	0	0	16	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
assemblage-410-427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	28	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	7	0	63	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	32	0	0	0	0	18	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
assemblage-372-614	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	68	41	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	15	0	0	0	0	11	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
assemblage-330-618	0	5	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	50	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	9	0	35	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	30	7	0	12	0	5	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	13	0	4	0	0	0	0	38	0	0	0	0	0	8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-611-453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	89	25	11	0	0	0	0	0	0	0	0	0	0	11	0	0	40	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	22	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-455-462	0	0	0	0	0	17	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	3	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	45	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	13	0	0	0	0	10	0	0	16	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
assemblage-470-542	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	22	0	0	0	0	0	0	0	0	0	0	0	52	0	0	50	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	24	0	0	18	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63
assemblage-494-612	0	0	0	0	0	23	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	22	0	0	0	0	0	0	13	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	62	0	0	0	0	0	0	0	0	0	0	0	52	0	0	14	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	23	0	7	27	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	28
assemblage-558-490	0	0	0	0	0	25	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	3	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	22	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	50	0	0	0	0	0	0	0	0	0	0	0	62	0	0	21	0	0	0	0	0	0	0	6	0	0	4	0	0	0	0	0	0	10	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	23	0	14	13	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
assemblage-513-431	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	17	0	12	0	0	0	0	0	0	0	0	0	0	17	0	11	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	89	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	15	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	11	0	0	0	10	0	0	0	0	0	0	0	0	0	60
assemblage-607-536	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	30	0	7	0	0	0	0	8	0	0	0	0	0	14	0	8	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	5	37	0	0	0	0	0	0	0	12	0	0	75	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	23	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	77
assemblage-627-483	0	0	0	0	0	12	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	39	0	0	0	0	0	0	0	0	0	0	0	69	0	0	10	0	0	8	0	0	0	0	18	0	0	15	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
assemblage-339-595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	24	0	15	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	78	0	31	0	0	0	0	0	0	0	0	0	0	0	0	10	38	0	0	0	0	0	0	0	22	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	22	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
assemblage-326-635	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	11	0	0	0	0	0	0	0	0	0	0	8	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	54	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	7	0	34	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	25	0	0	26	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	7	0	0	0	0	0	0	66	0	0	0	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
assemblage-417-583	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	75	20	14	0	0	0	0	0	0	0	0	0	0	18	0	0	15	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	14	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	18	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-581-624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	83	12	0	0	0	0	0	0	0	0	0	0	0	19	0	0	44	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
assemblage-641-508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	38	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	73	0	10	0	0	0	0	0	0	0	0	0	0	11	0	27	46	0	0	0	0	0	0	0	24	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	8	0	0	0	0	0	0	0	19	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
assemblage-451-444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	10	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	20	0	0	0	0	10	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
assemblage-598-648	0	0	0	0	0	14	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	4	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	18	0	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	35	0	0	0	0	0	0	0	0	0	0	0	65	0	0	32	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	41	0	3	19	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
assemblage-433-652	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	0	6	0	0	0	0	0	0	0	0	0	0	26	0	14	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	80	12	19	0	0	0	0	0	0	0	0	0	0	12	0	12	48	0	0	0	0	0	0	0	25	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-635-480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	68	9	19	0	0	0	0	0	0	0	0	0	0	13	0	0	35	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	28	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-534-385	0	0	0	0	0	18	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	5	0	35	0	0	0	0	0	0	0	3	0	0	10	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	52	0	0	6	0	0	0	0	0	0	0	0	90	0	0	0	0	0	15	0	0	0	0	12	0	0	15	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-514-397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	14	0	8	0	0	0	0	0	0	0	0	0	0	24	0	16	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	72	6	11	0	0	0	0	0	0	0	0	0	0	0	0	7	43	0	0	0	0	0	0	0	43	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	60
assemblage-491-522	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	77	28	0	0	0	0	0	3	0	0	0	0	0	59	0	0	54	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0	13	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	29	0	0	15	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
assemblage-596-549	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	25	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	29	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
