Assemblage_Name	9801580-3796120-7842521	4695502-4534223-1	1-8489422-4	711482-1-2543769	9198208-4-1	973116-3796120-4	7880237-2-1155435	9985518-1533748-2164537	8749520-0-3	5022992-2-1155435	4695502-0-3585834	1421082-0-7348456	9801580-4011598-4	2870491-4459327-0	2-0-2215140	4-4-80476	2870491-2-4871700	2-0-2015960	6420090-2-7619932	2-1743676-3	2870491-6869866-0	4695502-0-5755728	8772997-2-4	6029896-3796120-4	152037-2-9008060	63717-2-0	1-4963751-4	4910735-2756048-1155435	6070780-4-443569	1-3079462-4	2870491-2-3811690	1793607-0-3	1-2-2739010	6420090-5533004-2164537	2870491-2-2747002	498333-717440-0	503203-3796120-4	2870491-4450515-0	2870491-6607359-4871700	2870491-2-0	5505500-3796120-4	2-3093484-3	1793607-0-3458371	4695502-0-6018834	1-2-7619932	6420090-3920719-2164537	4608266-2-0	4695502-0-7626660	2-0-3	116424-3796120-4	9801580-3796120-600701	6420090-1533748-7684892	2870491-6100382-1155435	152037-2-4	1-2-4	1577617-4-443569	2-512974-3	9801580-4192615-4	9896956-0-3	152037-3098863-4	3703798-2-4	498333-6092624-0	1-2-588168	4-4-5747785	6420090-1295387-2164537	2093522-1666350-2164537	7695441-4-5747785	6420090-1533748-7619932	2870491-2-1155435	2-0-6687369	9801580-3796120-4302952	8227484-2-1155435	152037-2837045-4	1-2-1302520	7843160-4-1	4099986-0-3	6420090-1533748-2164537	1975256-1533748-2164537	7052019-7311360-2164537	4-5842646-1	4695502-0-7333026	6972952-4-2689746	1-7077209-4	498333-6092624-7511809	498333-1516983-0	6972952-4-5747785	1793607-9224462-3458371	9801580-3796120-2807966	8007507-2-5336968	1728733-2-1155435	4-1233734-6877059	4695502-8249790-1	8767744-0-3	4021804-1533748-2164537	9801580-3796120-4463967	2093522-1533748-2164537	1577617-8437230-443569	9801580-268812-4	152037-2-3367503	2-0-5969569	8252636-0-1	2870491-3281707-0	1-2-4996289	3930203-2-0	9801580-3796120-4	3930203-2-9728260	7052019-1533748-2164537	1-6240972-4	1-6887800-4	2-0-4812113	3342645-5909230-3	1793607-0-7348456	4-8055163-5747785	4-4948131-6877059	4-583999-443569	2870491-2-5150933	4695502-0-1	4-4-443569	6420090-1533748-813937	152037-2-8452785	4910735-2-2340905	4-4-1	4910735-2-1155435	1-3796120-4	3974541-0-2493407	6972952-99523-5747785	2870491-2-1241955	3552740-2-1302520	2738100-3796120-4	6420090-1533748-393285	4-4-6877059	2870491-6092624-0	2-5909230-3	9801580-649070-4	8772997-2-575752	3974541-0-3	2745977-1533748-2164537
assemblage-594-237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	48	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	14	209	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	57	23
assemblage-790-466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	55	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	29	0	0	0	0	73	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	47	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-235-826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	29	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	62	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-585-209	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	17	43	48	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	6	37
assemblage-285-119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	33	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	20	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-936-250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	44	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	25	0	0	0	0	64	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	14	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	57	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-988-353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	10	0	0	0	0	197	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	34	0	0	0	0	19	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	9	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-692-481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	102	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	63	0	21	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	25	0	0	21	0	0	0	0	0	0	0	0	0	0	23
assemblage-497-531	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	11	68	0	0	0	0	8	0	55	0	0	0	0	0	59	0	6	0	0	0	0	33	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	42	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-604-675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	92	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-481-156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	34	0	0	0	0	15	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	12	63	60	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-465-144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	106	0	0	0	0	48	0	0	0	0	0	0	0	14	0	71	0	0	0	33	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-607-238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	36	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	40	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	8	210	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-508-917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	7	0	0	0	81	0	0	0	0	6	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	103	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-806-986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	14	0	0	0	0	0	0	0	0	0	25	0	0	0	0	6	0	0	8	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	7	0	13	0	29	0	0	0	0	0	13	0	0	0	0	0	0	34	0	0	0	0	0	20
assemblage-666-410	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	93	0	4	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-667-848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	16	0	0	0	0	0	0	0	0	175	0	0	0	0	10	0	0	24	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0	0	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	34
assemblage-763-893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	79	0	0	0	0	0	2	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	63	0	0	0	9	0	0	0	0	0	0	0	0	0	41	0	0	0	0	20
assemblage-991-355	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	11	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	25	0	0	0	43	36	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-711-905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	176	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	28	0	9	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	20	0	0	0	15	12	0	0	0	0	24	0	29	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
assemblage-405-331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	47	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	14	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	40	22
assemblage-267-347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	40	0	0	0	0	17	0	0	0	0	0	0	0	0	0	9	0	0	0	0	25	0	0	38	0	0	0	0	187	0	0	0	0	0	0	0	0	12	0	8	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	89	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-702-912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	39	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	64	0	0	0	0	177	0	0	0	0	0	0	0	0	10	0	4	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	74	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-520-527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	15	0	0	0	0	24	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	67	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	40
assemblage-471-319	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	8	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	14
assemblage-302-569	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	11	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	101	7	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	25
assemblage-499-512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	74	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-230-157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	13	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	97	0	0	0	0	0	0	0	0	0	0	9	0	36
assemblage-891-274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	24	0	0	11	0	0	0	0	0	0	12	0	0	0	0	6	0	0	76	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	14	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-371-808	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	46	0	0	0	12	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-916-1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	47	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	55	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-575-740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	100	0	0	0	0	65	0	0	0	0	0	0	0	10	0	67	0	0	0	39	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
assemblage-799-965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	32	0	0	0	0	0	0	0	0	0	12	0	0	0	0	6	0	0	67	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	14	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-599-246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	27	0	0	0	0	43	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	79	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	21	123	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	14	25
assemblage-398-355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	37	0	0	0	0	122	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	86	0	53	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	18
assemblage-526-569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	47	0	0	7	0	0	0	0	0	0	0	0	0	0	16
assemblage-509-534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	82	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-675-257	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	31	0	0	0	9	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-612-218	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	109	0	0	0	0	0	0	0	0	9	0	0	0	27	0	0	0	0	0	10	0	0	0	0	0	0	0	15	20	39	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	10	33
assemblage-525-913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	136	0	0	0	0	0	0	0	0	27	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-164-933	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	47	0	0	0	6	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	11	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-470-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	122	0	0	0	0	80	0	0	0	0	0	0	0	0	0	45	0	0	0	32	0	0	0	0	0	6	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-257-856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	18	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	34	0	0	0	0	27	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	8	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	90	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-782-467	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	64	0	0	0	10	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	65	75	25	0	0	0	0	0	82	0	0	0	0	0	0	14	0	0	0	0	0	18
